stop_id,block_id,routes_serviced,med_income,inc:value-avg,normalized_income,population,pop:value-avg,normalized_population,e^z,importance,num_deps
11270,001000-4,1,"67,300","9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,176
10129,001000-4,1,"67,300","9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,174
10517,001000-4,1; 6; 215,"67,300","9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,174
99199,001000-4,215,67300,"9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,291
13554,001000-4,215,67300,"9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,291
10894,001000-4,1; 6,67300,"9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,345
10139,001000-4,1; 6; 215,"67,300","9,612",0.6612636722,1151,-80.6025641,-0.2546226102,0.4001618125,0.002372824457,341
13430,001200-4,1; 6,"67,300","9,612",0.6612636722,1490,258.3974359,0.8162746476,1.167670777,0.00692389351,354
10533,001200-4,1; 6,"67,300","9,612",0.6612636722,1490,258.3974359,0.8162746476,1.167670777,0.00692389351,341
10150,001200-3,1; 6,"67,300","9,612",0.6612636722,1728,496.3974359,1.56811402,2.476510092,0.0146848688,341
11290,001200-3,1; 6,67300,"9,612",0.6612636722,1728,496.3974359,1.56811402,2.476510092,0.0146848688,345
11296,001200-2,1; 6; 215,"67,300","9,612",0.6612636722,1425,193.3974359,0.6109403651,0.950921935,0.005638646052,636
11692,001200-2,1; 2; 6; 215,"67,300","9,612",0.6612636722,1425,193.3974359,0.6109403651,0.950921935,0.005638646052,408
10543,001200-2,1; 215,"67,300","9,612",0.6612636722,1425,193.3974359,0.6109403651,0.950921935,0.005638646052,465
11303,001200-1,1,"67,300","9,612",0.6612636722,1340,108.3974359,0.3424263034,0.7269937716,0.004310827639,176
10548,001200-1,1,"67,300","9,612",0.6612636722,1340,108.3974359,0.3424263034,0.7269937716,0.004310827639,174
12814,001000-2,6,"79,300","21,612",1.48685097,1288,56.3974359,0.1781588774,0.2701731869,0.00160203579,169
12078,001000-2,6,"79,300","21,612",1.48685097,1288,56.3974359,0.1781588774,0.2701731869,0.00160203579,167
11688,001000-3,6,"63,700","6,012",0.4135874829,1519,287.3974359,0.9078853274,1.639346759,0.00972077285,167
