(32.749,-117.146),
(32.752,-117.146),
(32.754,-117.146),
(32.755,-117.146),
(32.757,-117.146),
(32.757,-117.15),
(32.76,-117.15),
(32.76,-117.145),
(32.76,-117.146),
(32.761,-117.146),
(32.761,-117.144),
(32.762,-117.144),
(32.763,-117.144),
(32.763,-117.134),
(32.763,-117.128),
(32.763,-117.13),
(32.76,-117.13),
(32.759,-117.13),
(32.759,-117.127),
(32.755,-117.127),
(32.755,-117.128),
(32.749,-117.128),
(32.749,-117.126),
(32.749,-117.124),
(32.749,-117.126),
(32.748,-117.126),
(32.748,-117.128),
(32.748,-117.13),
(32.748,-117.131),
(32.749,-117.131),
(32.749,-117.132),
(32.749,-117.135),
(32.755,-117.135),
(32.755,-117.138),
(32.755,-117.139),
(32.76,-117.139),
(32.761,-117.139),
(32.757,-117.139),
(32.755,-117.139),
(32.755,-117.143),
(32.755,-117.147),
(32.754,-117.147),
(32.749,-117.147),
(32.749,-117.151),
(32.748,-117.151),
(32.749,-117.15),
(32.75,-117.15),
(32.75,-117.149),
(32.748,-117.149),
(32.748,-117.147),
(32.748,-117.143),
(32.748,-117.138),
(32.748,-117.137),
(32.749,-117.137),
(32.749,-117.14),
(32.75,-117.14),
(32.755,-117.14),
(32.76,-117.14),
(32.763,-117.14),
(32.763,-117.138),
(32.763,-117.137),
(32.763,-117.133),
(32.763,-117.131),
(32.755,-117.131),
(32.755,-117.13),
(32.755,-117.133),
(32.748,-117.133),
(32.748,-117.134),
(32.748,-117.135),
(32.749,-117.135),
(32.749,-117.142),
(32.749,-117.142)
