12802,32.761,-117.146,"32.761,-117.146"
11673,32.76,-117.15,"32.76,-117.15"
11672,32.76,-117.15,"32.76,-117.15"
12455,32.76,-117.145,"32.76,-117.145"
12065,32.757,-117.146,"32.757,-117.146"
12800,32.76,-117.15,"32.76,-117.15"
12454,32.754,-117.146,"32.754,-117.146"
11671,32.754,-117.147,"32.754,-117.147"
11670,32.75,-117.15,"32.75,-117.15"
12453,32.752,-117.146,"32.752,-117.146"
12804,32.749,-117.146,"32.749,-117.146"
13551,32.741,-117.184,"32.741,-117.184"
11675,32.75,-117.15,"32.75,-117.15"
11315,32.749,-117.124,"32.749,-117.124"
10550,32.748,-117.126,"32.748,-117.126"
10934,32.749,-117.126,"32.749,-117.126"
10547,32.748,-117.128,"32.748,-117.128"
11301,32.749,-117.128,"32.749,-117.128"
10161,32.748,-117.13,"32.748,-117.13"
11298,32.749,-117.131,"32.749,-117.131"
10915,32.749,-117.132,"32.749,-117.132"
10151,32.748,-117.133,"32.748,-117.133"
10534,32.748,-117.134,"32.748,-117.134"
10909,32.749,-117.135,"32.749,-117.135"
10527,32.748,-117.137,"32.748,-117.137"
10899,32.749,-117.137,"32.749,-117.137"
10523,32.748,-117.138,"32.748,-117.138"
10892,32.749,-117.14,"32.749,-117.14"
10136,32.75,-117.14,"32.75,-117.14"
10885,32.749,-117.142,"32.749,-117.142"
10130,32.748,-117.143,"32.748,-117.143"
13354,32.748,-117.147,"32.748,-117.147"
13355,32.749,-117.147,"32.749,-117.147"
10494,32.748,-117.149,"32.748,-117.149"
10865,32.75,-117.15,"32.75,-117.15"
10862,32.749,-117.151,"32.749,-117.151"
10114,32.748,-117.151,"32.748,-117.151"
10111,32.748,-117.154,"32.748,-117.154"
11254,32.749,-117.154,"32.749,-117.154"
10106,32.748,-117.155,"32.748,-117.155"
10502,32.755,-117.146,"32.755,-117.146"
11270,32.755,-117.143,"32.755,-117.143"
10129,32.755,-117.143,"32.755,-117.143"
10517,32.755,-117.14,"32.755,-117.14"
13554,32.748,-117.147,"32.748,-117.147"
10894,32.755,-117.139,"32.755,-117.139"
10139,32.755,-117.138,"32.755,-117.138"
13430,32.755,-117.135,"32.755,-117.135"
10533,32.755,-117.135,"32.755,-117.135"
10150,32.755,-117.133,"32.755,-117.133"
11290,32.755,-117.133,"32.755,-117.133"
11296,32.755,-117.131,"32.755,-117.131"
10543,32.755,-117.13,"32.755,-117.13"
11303,32.755,-117.128,"32.755,-117.128"
10548,32.755,-117.127,"32.755,-117.127"
12814,32.761,-117.139,"32.761,-117.139"
12078,32.76,-117.139,"32.76,-117.139"
11688,32.76,-117.14,"32.76,-117.14"
12469,32.757,-117.139,"32.757,-117.139"
11266,32.763,-117.144,"32.763,-117.144"
10507,32.762,-117.144,"32.762,-117.144"
11271,32.76,-117.14,"32.76,-117.14"
10518,32.763,-117.14,"32.763,-117.14"
10140,32.763,-117.138,"32.763,-117.138"
10900,32.763,-117.137,"32.763,-117.137"
10540,32.763,-117.134,"32.763,-117.134"
11291,32.763,-117.133,"32.763,-117.133"
11297,32.76,-117.13,"32.76,-117.13"
10160,32.763,-117.13,"32.763,-117.13"
12089,32.763,-117.13,"32.763,-117.13"
10169,32.763,-117.128,"32.763,-117.128"
12822,32.759,-117.13,"32.759,-117.13"
12086,32.759,-117.13,"32.759,-117.13"
11692,32.76,-117.13,"32.76,-117.13"
